Starting 5-minute BTC/USDT (Binance Perpetual) frame tracking...
Signal threshold: ±$180 price change per frame
--------------------------------------------------------------------------------

[NEW FRAME] Now: 16:36:38 | Frame: 16:35:00 | Frame Start Price: $69,647.20
[16:36:38] Frame: 16:35:00 | BTC: $69,647.20 | Change: +0.00 / ±$180
[16:36:41] Frame: 16:35:00 | BTC: $69,640.00 | Change: -7.20 / ±$180
[16:36:44] Frame: 16:35:00 | BTC: $69,640.00 | Change: -7.20 / ±$180
[16:36:47] Frame: 16:35:00 | BTC: $69,640.00 | Change: -7.20 / ±$180
[16:36:49] Frame: 16:35:00 | BTC: $69,644.00 | Change: -3.20 / ±$180
[16:36:52] Frame: 16:35:00 | BTC: $69,646.90 | Change: -0.30 / ±$180
[16:36:55] Frame: 16:35:00 | BTC: $69,646.90 | Change: -0.30 / ±$180
[16:36:58] Frame: 16:35:00 | BTC: $69,647.00 | Change: -0.20 / ±$180
[16:37:01] Frame: 16:35:00 | BTC: $69,660.50 | Change: +13.30 / ±$180
[16:37:05] Frame: 16:35:00 | BTC: $69,655.70 | Change: +8.50 / ±$180
[16:37:08] Frame: 16:35:00 | BTC: $69,655.70 | Change: +8.50 / ±$180
[16:37:11] Frame: 16:35:00 | BTC: $69,655.70 | Change: +8.50 / ±$180
[16:37:14] Frame: 16:35:00 | BTC: $69,655.80 | Change: +8.60 / ±$180
[16:37:17] Frame: 16:35:00 | BTC: $69,649.30 | Change: +2.10 / ±$180
[16:37:20] Frame: 16:35:00 | BTC: $69,649.30 | Change: +2.10 / ±$180
[16:37:23] Frame: 16:35:00 | BTC: $69,649.30 | Change: +2.10 / ±$180
[16:37:26] Frame: 16:35:00 | BTC: $69,649.30 | Change: +2.10 / ±$180
[16:37:29] Frame: 16:35:00 | BTC: $69,649.20 | Change: +2.00 / ±$180
[16:37:32] Frame: 16:35:00 | BTC: $69,649.30 | Change: +2.10 / ±$180
[16:37:36] Frame: 16:35:00 | BTC: $69,649.30 | Change: +2.10 / ±$180
[16:37:40] Frame: 16:35:00 | BTC: $69,649.30 | Change: +2.10 / ±$180
[16:37:42] Frame: 16:35:00 | BTC: $69,615.10 | Change: -32.10 / ±$180
[16:37:45] Frame: 16:35:00 | BTC: $69,616.30 | Change: -30.90 / ±$180
[16:37:49] Frame: 16:35:00 | BTC: $69,618.30 | Change: -28.90 / ±$180
[16:37:52] Frame: 16:35:00 | BTC: $69,621.10 | Change: -26.10 / ±$180
[16:37:55] Frame: 16:35:00 | BTC: $69,621.10 | Change: -26.10 / ±$180
[16:37:58] Frame: 16:35:00 | BTC: $69,621.10 | Change: -26.10 / ±$180
[16:38:01] Frame: 16:35:00 | BTC: $69,633.90 | Change: -13.30 / ±$180
[16:38:04] Frame: 16:35:00 | BTC: $69,633.90 | Change: -13.30 / ±$180
[16:38:07] Frame: 16:35:00 | BTC: $69,634.00 | Change: -13.20 / ±$180
[16:38:11] Frame: 16:35:00 | BTC: $69,634.00 | Change: -13.20 / ±$180
[16:38:14] Frame: 16:35:00 | BTC: $69,649.90 | Change: +2.70 / ±$180
[16:38:17] Frame: 16:35:00 | BTC: $69,651.10 | Change: +3.90 / ±$180
[16:38:20] Frame: 16:35:00 | BTC: $69,642.70 | Change: -4.50 / ±$180
[16:38:23] Frame: 16:35:00 | BTC: $69,642.70 | Change: -4.50 / ±$180
[16:38:26] Frame: 16:35:00 | BTC: $69,642.80 | Change: -4.40 / ±$180
[16:38:29] Frame: 16:35:00 | BTC: $69,642.80 | Change: -4.40 / ±$180
[16:38:32] Frame: 16:35:00 | BTC: $69,642.80 | Change: -4.40 / ±$180
[16:38:35] Frame: 16:35:00 | BTC: $69,642.70 | Change: -4.50 / ±$180
[16:38:38] Frame: 16:35:00 | BTC: $69,642.70 | Change: -4.50 / ±$180
[16:38:41] Frame: 16:35:00 | BTC: $69,642.70 | Change: -4.50 / ±$180
[16:38:44] Frame: 16:35:00 | BTC: $69,642.80 | Change: -4.40 / ±$180
[16:38:47] Frame: 16:35:00 | BTC: $69,640.10 | Change: -7.10 / ±$180
[16:38:50] Frame: 16:35:00 | BTC: $69,640.10 | Change: -7.10 / ±$180
[16:38:53] Frame: 16:35:00 | BTC: $69,640.00 | Change: -7.20 / ±$180
[16:38:56] Frame: 16:35:00 | BTC: $69,640.10 | Change: -7.10 / ±$180
[16:38:59] Frame: 16:35:00 | BTC: $69,640.10 | Change: -7.10 / ±$180
[16:39:02] Frame: 16:35:00 | BTC: $69,640.10 | Change: -7.10 / ±$180
[16:39:05] Frame: 16:35:00 | BTC: $69,640.10 | Change: -7.10 / ±$180
[16:39:08] Frame: 16:35:00 | BTC: $69,626.40 | Change: -20.80 / ±$180
[16:39:11] Frame: 16:35:00 | BTC: $69,626.40 | Change: -20.80 / ±$180
[16:39:14] Frame: 16:35:00 | BTC: $69,620.00 | Change: -27.20 / ±$180
[16:39:18] Frame: 16:35:00 | BTC: $69,620.10 | Change: -27.10 / ±$180
[16:39:21] Frame: 16:35:00 | BTC: $69,615.10 | Change: -32.10 / ±$180
